area,session,object,event,start_bin,stop_bin,center_time_s,obs_auc,null_auc_mean,null_auc_ci95_low,null_auc_ci95_high,p_auc,n_shuffle,cv_n_splits,cv_n_repeats
F6,MonkeyC_Session06,Object2,Event3,61,66,0.47,0.6533333333333334,0.4728266666666667,0.2165,0.74,0.1217564870259481,500,3,1
F6,MonkeyC_Session06,Object2,Event3,62,67,0.49,0.5666666666666668,0.4414533333333333,0.17333333333333334,0.7200000000000001,0.2375249500998004,500,3,1
F6,MonkeyC_Session06,Object2,Event3,63,68,0.51,0.6933333333333334,0.4738133333333333,0.20983333333333332,0.7635,0.07584830339321358,500,3,1
F6,MonkeyC_Session06,Object2,Event3,64,69,0.53,0.7000000000000001,0.48038666666666663,0.21333333333333335,0.7533333333333334,0.08183632734530938,500,3,1
F6,MonkeyC_Session06,Object2,Event3,65,70,0.55,0.7933333333333333,0.4899866666666667,0.21333333333333332,0.7701666666666666,0.015968063872255488,500,3,1
F6,MonkeyC_Session06,Object3,Event1,0,5,-0.15,0.4000000000000001,0.4684933333333333,0.19999999999999996,0.7701666666666666,0.6506986027944112,500,3,1
F6,MonkeyC_Session06,Object3,Event1,1,6,-0.13,0.4666666666666666,0.48573333333333335,0.20316666666666666,0.7599999999999999,0.5568862275449101,500,3,1
F6,MonkeyC_Session06,Object3,Event1,2,7,-0.11,0.3133333333333333,0.50728,0.22983333333333333,0.7600000000000001,0.8962075848303394,500,3,1
F6,MonkeyC_Session06,Object3,Event1,3,8,-0.09,0.27999999999999997,0.5333066666666666,0.2733333333333333,0.7666666666666666,0.9680638722554891,500,3,1
F6,MonkeyC_Session06,Object3,Event1,4,9,-0.07,0.3466666666666666,0.50252,0.24000000000000002,0.7600000000000001,0.8423153692614771,500,3,1
F6,MonkeyC_Session06,Object3,Event1,5,10,-0.05,0.3666666666666667,0.5028933333333333,0.213,0.7803333333333331,0.8143712574850299,500,3,1
F6,MonkeyC_Session06,Object3,Event1,6,11,-0.03,0.36000000000000004,0.5261466666666667,0.24666666666666667,0.7666666666666666,0.8522954091816367,500,3,1
F6,MonkeyC_Session06,Object3,Event1,7,12,-0.01,0.26666666666666666,0.55356,0.27966666666666673,0.7733333333333334,0.9800399201596807,500,3,1
F6,MonkeyC_Session06,Object3,Event1,8,13,0.0099999999999999,0.2333333333333333,0.529,0.25999999999999995,0.7799999999999999,0.9840319361277445,500,3,1
F6,MonkeyC_Session06,Object3,Event1,9,14,0.03,0.25333333333333335,0.4954133333333333,0.21999999999999997,0.7635,0.9401197604790419,500,3,1
