area,session,object,event,obs_auc_pre,obs_auc_post,obs_delta_auc,p_pre,p_post,p_delta,n_shuffle,pre_bin_start,pre_bin_stop_exclusive,post_bin_start,post_bin_stop_exclusive,null_pre_mean,null_pre_ci95_low,null_pre_ci95_high,null_post_mean,null_post_ci95_low,null_post_ci95_high,null_delta_mean,null_delta_ci95_low,null_delta_ci95_high
F5,MonkeyB_Session10,Object1,Event1,0.61,0.5755555555555555,-0.0344444444444445,0.2055888223552894,0.3013972055888224,0.5808383233532934,500,0,10,10,50,0.49765111111111116,0.24327777777777781,0.743388888888889,0.5054955555555556,0.22872222222222227,0.7674166666666665,0.00784444444444444,-0.3390555555555555,0.36122222222222206
F5,MonkeyB_Session10,Object1,Event3,0.37666666666666665,0.8811111111111112,0.5044444444444445,0.8063872255489022,0.001996007984031936,0.001996007984031936,500,0,40,40,70,0.4927177777777778,0.21269444444444444,0.7351944444444444,0.49884,0.2371388888888889,0.7716944444444445,0.006122222222222223,-0.3150277777777778,0.32344444444444437
F5,MonkeyB_Session10,Object2,Event1,0.4777777777777778,0.42888888888888893,-0.04888888888888887,0.562874251497006,0.6826347305389222,0.5748502994011976,500,0,10,10,50,0.5013622222222223,0.2287777777777778,0.75725,0.49168,0.21830555555555556,0.7656666666666665,-0.009682222222222226,-0.35666666666666674,0.3306388888888888
F5,MonkeyB_Session10,Object2,Event3,0.5077777777777778,0.8755555555555555,0.36777777777777776,0.47305389221556887,0.005988023952095809,0.015968063872255488,500,0,40,40,70,0.49792888888888887,0.22772222222222224,0.7711111111111111,0.4950177777777778,0.23555555555555557,0.7529166666666666,-0.0029111111111111035,-0.3928055555555555,0.3441388888888886
F5,MonkeyB_Session10,Object3,Event1,0.4688888888888889,0.5022222222222222,0.033333333333333326,0.6007984031936128,0.4870259481037924,0.42714570858283435,500,0,10,10,50,0.49936,0.2397777777777778,0.7456111111111111,0.5008622222222223,0.24666666666666667,0.754722222222222,0.0015022222222222156,-0.3545,0.37227777777777776
F5,MonkeyB_Session10,Object3,Event3,0.6222222222222222,0.8022222222222222,0.17999999999999994,0.1996007984031936,0.003992015968063872,0.14770459081836326,500,0,40,40,70,0.5078177777777778,0.2565,0.7623333333333333,0.5023333333333334,0.24888888888888888,0.7379999999999999,-0.005484444444444449,-0.35122222222222216,0.32899999999999996
F5,MonkeyB_Session11,Object1,Event1,0.8516666666666667,0.5666666666666668,-0.2849999999999999,0.001996007984031936,0.3413173652694611,0.9441117764471058,500,0,10,10,50,0.5056222222222223,0.23081944444444444,0.7358472222222222,0.49788000000000004,0.22222222222222227,0.7394722222222221,-0.007742222222222219,-0.3379861111111111,0.3321249999999999
F5,MonkeyB_Session11,Object1,Event3,0.45777777777777784,0.9966666666666666,0.5388888888888888,0.5968063872255489,0.001996007984031936,0.003992015968063872,500,0,40,40,70,0.48731111111111114,0.2142222222222222,0.7428055555555555,0.49763777777777785,0.24047222222222223,0.7344999999999999,0.010326666666666671,-0.3516944444444444,0.37783333333333335
F5,MonkeyB_Session11,Object2,Event1,0.2244444444444445,0.6977777777777778,0.47333333333333333,0.9840319361277445,0.06786427145708583,0.005988023952095809,500,0,10,10,50,0.5078355555555556,0.23333333333333336,0.7406388888888887,0.5025644444444445,0.25333333333333335,0.749,-0.0052711111111111006,-0.369,0.3640277777777776
F5,MonkeyB_Session11,Object2,Event3,0.5800000000000001,0.9733333333333334,0.3933333333333333,0.2435129740518962,0.001996007984031936,0.005988023952095809,500,0,40,40,70,0.49208444444444444,0.23438888888888892,0.7233888888888887,0.4933155555555556,0.22105555555555556,0.7445555555555555,0.0012311111111111028,-0.33238888888888884,0.3244444444444445
