area,session,event,train_object,test_object,acc,auc,evaluation,is_cross_object
F5,MonkeyB_Session06,Event3,Object2,Object2,0.7266666666666666,0.84,within_object_cv,False
F5,MonkeyB_Session06,Event3,Object2,Object3,0.6666666666666666,0.7422222222222222,cross_object_holdout,True
F5,MonkeyB_Session06,Event3,Object3,Object1,0.7,0.8577777777777779,cross_object_holdout,True
F5,MonkeyB_Session06,Event3,Object3,Object2,0.8,0.8311111111111111,cross_object_holdout,True
F5,MonkeyB_Session06,Event3,Object3,Object3,0.6366666666666667,0.7244444444444444,within_object_cv,False
F5,MonkeyB_Session07,Event1,Object1,Object1,0.5066666666666666,0.4822222222222223,within_object_cv,False
F5,MonkeyB_Session07,Event1,Object1,Object2,0.6333333333333333,0.6799999999999999,cross_object_holdout,True
F5,MonkeyB_Session07,Event1,Object1,Object3,0.5333333333333333,0.6311111111111112,cross_object_holdout,True
F5,MonkeyB_Session07,Event1,Object2,Object1,0.6,0.6533333333333333,cross_object_holdout,True
F5,MonkeyB_Session07,Event1,Object2,Object2,0.48,0.4577777777777778,within_object_cv,False
F5,MonkeyB_Session07,Event1,Object2,Object3,0.5666666666666667,0.5511111111111111,cross_object_holdout,True
F5,MonkeyB_Session07,Event1,Object3,Object1,0.5333333333333333,0.6177777777777778,cross_object_holdout,True
F5,MonkeyB_Session07,Event1,Object3,Object2,0.5,0.5155555555555555,cross_object_holdout,True
F5,MonkeyB_Session07,Event1,Object3,Object3,0.6133333333333333,0.6066666666666667,within_object_cv,False
F5,MonkeyB_Session07,Event3,Object1,Object1,0.8333333333333335,0.9066666666666667,within_object_cv,False
F5,MonkeyB_Session07,Event3,Object1,Object2,0.7666666666666667,0.8222222222222222,cross_object_holdout,True
F5,MonkeyB_Session07,Event3,Object1,Object3,0.8,0.7644444444444445,cross_object_holdout,True
F5,MonkeyB_Session07,Event3,Object2,Object1,0.7,0.8488888888888889,cross_object_holdout,True
F5,MonkeyB_Session07,Event3,Object2,Object2,0.7166666666666667,0.7933333333333334,within_object_cv,False
F5,MonkeyB_Session07,Event3,Object2,Object3,0.7,0.7733333333333333,cross_object_holdout,True
F5,MonkeyB_Session07,Event3,Object3,Object1,0.7,0.7822222222222223,cross_object_holdout,True
