area,session,object,event,start_bin,stop_bin,center_time_s,acc,auc,n_pcs_used,p_auc,null_auc_mean,null_auc_ci95_high,q_auc
F6,MonkeyB_Session01,Object2,Event1,38,43,0.6100000000000001,0.6190000000000001,0.685,8,0.467065868263473,0.4981666666666667,0.7916666666666666,0.934131736526946
F6,MonkeyB_Session01,Object2,Event1,39,44,0.6300000000000001,0.561,0.6483333333333334,8,0.4630738522954092,0.4740833333333333,0.7708333333333334,0.934131736526946
F6,MonkeyB_Session01,Object2,Event1,40,45,0.6499999999999999,0.517,0.6066666666666667,8,0.3273453093812375,0.4928333333333333,0.8125,0.9269080885847354
F6,MonkeyB_Session01,Object2,Event1,41,46,0.6699999999999999,0.407,0.3933333333333333,8,0.7485029940119761,0.4787916666666666,0.7708333333333334,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,42,47,0.69,0.519,0.55,8,0.9181636726546906,0.5116250000000001,0.8125,0.9820359281437124
F6,MonkeyB_Session01,Object2,Event1,43,48,0.71,0.493,0.5133333333333333,8,0.934131736526946,0.50175,0.8234374999999996,0.9820359281437124
F6,MonkeyB_Session01,Object2,Event1,44,49,0.73,0.6509999999999999,0.6666666666666667,8,0.590818363273453,0.497,0.8125,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event1,45,50,0.75,0.5159999999999999,0.5116666666666666,8,0.872255489021956,0.5135,0.7708333333333334,0.9786281096343897
F6,MonkeyB_Session01,Object2,Event3,0,5,-0.75,0.478,0.4650000000000001,8,0.6287425149700598,0.5015,0.8125,0.7544910179640718
F6,MonkeyB_Session01,Object2,Event3,1,6,-0.73,0.48,0.5166666666666666,8,0.5329341317365269,0.5275833333333333,0.7916666666666666,0.7025948103792415
F6,MonkeyB_Session01,Object2,Event3,2,7,-0.7100000000000001,0.547,0.625,8,0.249500998003992,0.5062916666666667,0.8442708333333329,0.499001996007984
F6,MonkeyB_Session01,Object2,Event3,3,8,-0.6900000000000001,0.3369999999999999,0.2983333333333333,8,0.8163672654690619,0.4934583333333334,0.8125,0.8832826150976735
F6,MonkeyB_Session01,Object2,Event3,4,9,-0.67,0.358,0.305,8,0.8562874251497006,0.48175,0.7817708333333329,0.9115317751593587
F6,MonkeyB_Session01,Object2,Event3,5,10,-0.65,0.608,0.645,8,0.2574850299401197,0.499875,0.7916666666666666,0.4998238816484677
F6,MonkeyB_Session01,Object2,Event3,6,11,-0.63,0.586,0.6366666666666667,8,0.3173652694610778,0.4959583333333334,0.7817708333333329,0.5512133627481878
F6,MonkeyB_Session01,Object2,Event3,7,12,-0.6100000000000001,0.45,0.4983333333333333,8,0.1796407185628742,0.5219166666666667,0.8333333333333334,0.42343883661248916
F6,MonkeyB_Session01,Object2,Event3,8,13,-0.5900000000000001,0.5710000000000001,0.6183333333333334,8,0.2035928143712574,0.5057916666666666,0.8125,0.46334916374148233
